I_10mA,V_10mA,I_20mA,V_20mA
-63.9,10,-135.3,10
-63.7,30,-134.8,28.4
-64.7,50,-134.5,49.9
-64.8,70.8,-134.4,74.4
-64.7,90.4,-134.4,91.8
-64.7,111,-134.6,111.4
-64.8,130.3,-134.2,133.6
-65.8,153.5,-134,152.6
-65.9,171,-134.1,169.5
-65.8,190,-133.9,193.6
-65.6,211,-133.7,210
-65.4,234,-133.2,234
-65.2,251,-132.7,249
-64.5,271,-131.8,269
-63.3,292,-130.2,289
-61.2,312,-126.9,312
-58,332,-123.1,329
-53.2,350,-115.8,350
-49.4,360,-111.1,359
-44.7,370,-104.4,370
-39.5,379,-97.9,379
-33.8,390,-88.5,389
-29.1,395,-82.9,395
-24.6,400,-77.6,399
-20.6,404,-69.9,406
-18.2,406,-64.3,410
-16.9,407,-56.7,415
-15.7,408,-49.2,420
-14.8,409,-37.5,426
-13.9,410,-31.4,430
,,-22.9,434
,,-18.8,439
,,-15.6,440
