I,V_red,V_yellow,V_green,V_blue,V_white,V_infr,V_ph
0.001,1.33,1.53,2.14,2.16,2.33,1.04,0.294
0.005,1.41,1.59,2.24,2.29,2.4,1.11,0.338
0.01,1.45,1.62,2.28,2.34,2.42,1.14,0.36
0.02,1.48,1.64,2.33,2.38,2.45,1.16,0.385
0.04,1.51,1.67,2.37,2.42,2.47,1.18,0.41
0.06,1.53,1.69,2.4,2.45,2.49,1.2,0.425
0.08,1.54,1.7,2.42,2.47,2.5,1.21,0.437
0.1,1.56,1.71,2.43,2.48,2.51,1.21,0.446
0.2,1.58,1.75,2.49,2.53,2.54,1.23,0.477
0.4,1.61,1.79,2.55,2.58,2.57,1.25,0.506
0.6,1.63,1.82,2.59,2.62,2.59,1.26,0.525
0.8,1.64,1.84,2.62,2.64,2.6,1.27,0.538
1,1.65,1.86,2.64,2.67,2.62,1.28,0.548
1.5,1.66,1.91,2.7,2.71,2.65,1.29,0.568
2,1.67,1.95,2.74,2.74,2.67,1.3,0.583
3,1.69,2.02,2.81,2.79,2.71,1.31,0.605
4,1.7,2.07,2.86,2.83,2.74,1.32,0.621
5,1.72,2.13,2.91,2.86,2.77,1.33,0.634
6,1.73,2.19,2.95,2.89,2.79,1.34,0.645
7,1.74,2.23,2.98,2.92,2.81,1.34,0.654
8,1.74,2.28,3.01,2.94,2.83,1.35,0.661
9,1.75,2.33,3.04,2.96,2.85,1.35,0.669
10,1.76,2.38,3.07,2.98,2.87,1.36,0.675
11,1.77,2.42,3.09,3,2.89,1.36,0.681
12,1.78,2.47,3.11,3.02,2.9,1.36,0.687
13,1.78,2.51,3.13,3.04,2.92,1.37,0.692
14,1.79,2.55,3.15,3.06,2.93,1.37,0.696
15,1.8,2.59,3.16,3.07,2.94,1.374,0.701
16,1.8,2.62,3.18,3.09,2.95,1.377,0.705
17,1.81,2.65,3.2,3.11,2.97,1.38,0.71
18,1.82,2.68,3.22,3.12,2.98,1.383,0.713
19,1.82,2.7,3.23,3.14,2.99,1.385,0.716
20,1.83,2.73,3.25,3.15,3,1.388,0.72
